101000000101, 10100100, 001010000, 00101101, 001, 0010100, 1101000000, 1000011101, 000000101, 1011, 1101011, 11110, 0110110001, 1110010, 01100011001, 000010001, 000, 01000001010, 011101, 011, (00|(10)?1)*
010101100101, 10110101010, 0110, 010101, 101101, 0101, 10010100101, 01101, 10110, 010, 0011111, 1100, 110100, 11011, 110, 110111010000, 0111, 0101111, 11, 0011101100, (1?01?)*
1110, 111111, 1111111111, 110, 1111111110, 111111111, 11111111, 11111, 1111110, 111111110, 111100, 001001011, 0000110111100, 111111101111, 0110001000100, 00001, 11111011100011, 111111011101, 101010010, 11010, 0|1*(0|1)
01111111, 0111111, 111111, 1111111111, 1111111, 01111111111, 011111111, 111, 11111, 0111, 01100111, 0001001, 0111100, 01110111011, 1100111, 0100100, 01101101110, 0010000000, 00100011011, 101110100, (01)?1*
111110, 111111, 1111111111, 1111111, 1111, 1111111110, 111, 111111111, 11111, 111111110, 011000011101, 0001110100011, 01000, 11010100100011, 010000001110, 1011, 100101111100, 110001011, 1100, 10100000110100, 1*0?
111111, 10101111, 000000, 0000, 00000, 0000000, 000, 0000000000, 1010, 101011111, 00101000010000, 01, 0010000, 0001010110011, 0100110000, 0100, 00011, 01101011010101, 01110011101111, 001101011, (10)*1*|0*
111111, 000000011, 000000, 0000, 001111, 00011, 00111, 0000011111, 00011111111, 000000000011, 0101111011101, 01110110011111, 1001110101, 11110, 1100111, 1101, 00100001101, 0100110, 101, 10, 0*1*
11101001011, 1110, 10010, 1010010, 1111101010, 010101010010, 010101010, 1010, 111010, 101011010, 100001101110, 0001010011001, 01, 01100001000001, 001111011100, 110, 0101, 0010010011, 0001011, 1, (0?10|1(0|1))*
11000011111, 000000011, 01011101, 11111101, 110000001, 00000, 1111110101, 011111, 000000000011, 1100111101, 0111100000100, 10111100001, 1111101100, 11010100110010, 11010010000111, 00110101, 1010110, 10010001, 001111010100, 1011, (110*)?(((0|1)1)*|0*(11|0|1))
1000, 000000, 10000000000, 100, 0000, 00000, 0000000, 0000000000, 10000, 1000000000, 01, 1101011, 1111011011, 111011, 110111101, 00011110, 1, 000010010, 10001011111000, 11, (10)?0*
000001100, 101011100, 10101011100, 110000, 1100000, 11100000, 111100000000, 10111000, 11111101100, 1100, 010101010, 0101, 01000000, 10001001, 111001001, 001000, 1111101, 011110110101, 00, 1, ((101?)*|(11)*(0*|1*)(0|1)?)110?0*
